fecha,Ringcanceled,Enterqueue,Connect,Abandon,Completecaller,Completeagent,Abandono - Tiempo de espera,Conectado - Tiempo de espera,Tamaño de la fila (abandono en cola),Tiempo en llamada,Ringnoanswer,Ring canceled/noanswer
5/24/2020,0,336,248,88,212,32,52.364,22.839,1,403.434,0,403.434
5/25/2020,0,946,586,360,494,96,111.356,43.317,2,437.298,0,437.298
5/26/2020,2,"1,088",742,346,640,98,124.925,31.084,2,519.255,0,519.255
5/27/2020,2,"1,214",870,346,770,100,73.96,28.547,2,450.437,0,450.437
5/28/2020,4,"1,186",752,438,662,98,71.228,27.247,2,507.418,0,507.418
5/29/2020,2,"1,232",808,424,714,86,90.693,38.668,2,439.903,0,439.903
5/30/2020,2,"1,198",990,208,916,82,85.394,12.02,1,384.287,0,384.287
5/31/2020,4,"1,294",838,456,678,160,94.281,24.193,2,290.754,0,290.754
6/1/2020,4,"1,150",658,492,498,158,95.793,51.605,2,379.905,0,379.905
6/2/2020,4,"1,194",910,284,776,138,75.634,13.064,2,448.444,0,448.444
6/3/2020,0,"1,038",762,276,704,60,94.855,17.727,2,380.631,0,380.631
6/4/2020,4,"1,214","1,156",56,"1,064",88,34.536,3.533,1,279.953,0,279.953
6/5/2020,0,972,864,108,794,70,53.704,4.65,1,376.56,0,376.56
6/6/2020,4,"1,088",896,192,830,66,66.219,9.982,1,383.821,0,383.821
6/7/2020,2,998,632,366,524,110,87.656,31.649,2,372.495,0,372.495
6/8/2020,0,894,738,158,628,112,95.506,13.344,2,251.073,0,251.073
6/9/2020,0,976,736,240,652,78,79.092,19.467,2,484.208,0,484.208
6/10/2020,2,968,876,92,788,88,49.522,9.861,2,435.977,0,435.977
6/11/2020,6,"1,066",972,98,906,74,49.816,3.986,1,340.192,0,340.192
6/12/2020,2,978,878,100,818,64,85.26,3.255,1,338.063,0,338.063
6/13/2020,2,"1,086","1,054",30,"1,012",50,46.267,1.744,1,310.52,0,310.52
6/14/2020,4,"1,112",794,320,638,158,72.55,17.718,1,301.234,0,301.234
6/15/2020,0,"1,100",918,184,756,158,60.978,17.083,1,195.221,0,195.221
6/16/2020,2,"1,026",858,168,758,102,69.583,7.154,2,394.872,0,394.872
6/17/2020,4,"1,020",890,130,820,74,65.554,5.746,1,379.872,0,379.872
6/18/2020,2,"1,012",888,124,806,80,71.194,7.998,1,486.833,0,486.833
6/19/2020,6,"1,036",924,112,852,72,58.679,6.621,1,375.745,0,375.745
6/20/2020,0,"1,138","1,128",10,"1,088",44,63.2,1.316,2,260.11,0,260.11
6/21/2020,0,980,862,120,788,82,54.367,5.016,1,247.756,0,247.756
6/22/2020,2,762,678,84,576,102,68.119,10.885,2,249.953,0,249.953
6/23/2020,2,"1,226","1,104",124,"1,020",80,43.581,7.783,2,333.715,0,333.715
6/24/2020,2,"1,022",594,428,520,66,124.678,23.707,2,328.577,0,328.577
6/25/2020,6,"1,074",912,162,846,70,75.086,7.706,1,373.945,0,373.945
6/26/2020,2,900,842,58,802,40,34.966,3.228,1,313.447,0,313.447
6/27/2020,2,942,864,78,792,80,56.179,5.366,1,282.055,0,282.055
6/28/2020,0,944,664,280,510,150,80.429,29.078,2,279.227,0,279.227
6/29/2020,4,884,760,124,630,122,38.532,13.3,1,279.705,0,279.705
6/30/2020,2,"1,242",980,262,912,84,79.748,23.086,2,504.47,0,504.47
7/1/2020,2,960,814,146,720,82,48.096,9.595,1,446.254,0,446.254
